business,category,niche(s),score,tier,tier_label,score_web_opportunity,score_budget,score_niche_fit,score_reachability,score_reputation,score_operational,has_website,website,phone,rating,review_count,primary_type,maps_url,address,status
Ерато,Hospitality,restaurant,100,A,Hot,100,100,100,100,96,100,no,,089 662 1720,4.9,840,restaurant,https://maps.google.com/?cid=9310938094902171668&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Odessos 21, Гръцки кварталОдесос, ул. „Одесос“ 21, 9000 Варна",OPERATIONAL
Ресторант Кендълс,Hospitality,restaurant,99,A,Hot,100,100,100,100,88,100,no,,098 834 5444,4.7,564,restaurant,https://maps.google.com/?cid=2048859128831261366&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Неофит Рилски“, 9000 Варна",OPERATIONAL
Бонджорно Паста и Пица,Hospitality,restaurant,99,A,Hot,100,99,100,100,88,100,no,,052 991 793,4.7,250,italian_restaurant,https://maps.google.com/?cid=12228446347323168252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЛевскиПриморски, ул. „Мир“ 35, entrance B, 9010 Варна",OPERATIONAL
БМ Залива,Hospitality,restaurant,98,A,Hot,100,100,100,100,76,100,no,,052 614 887,4.4,2416,seafood_restaurant,https://maps.google.com/?cid=2215865167309203614&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна, Южен Плаж,басейн, ПриморскиОдесос, 9000 Варна",OPERATIONAL
Рибката,Hospitality,restaurant,98,A,Hot,100,100,100,100,84,100,no,,089 732 6864,4.6,1162,restaurant,https://maps.google.com/?cid=1040613840209611862&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"кв. АспаруховоАспарухово, ул. „Свети Свети Кирил и Методий“ 143, 9003 Варна",OPERATIONAL
Лагуна,Hospitality,restaurant,98,A,Hot,100,100,100,100,76,100,no,,089 981 0915,4.4,934,restaurant,https://maps.google.com/?cid=8434566930112758953&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Аспарухово, Priboi 151, 9021 Варна",OPERATIONAL
Кабакум Бийч Резидънс,Hospitality,lodging,98,A,Hot,100,100,100,100,76,100,no,,052 744 337,4.4,585,hotel,https://maps.google.com/?cid=17367516369096883948&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЧайкаПриморски, ул. „Боян Бъчваров“ 109, 9007 Варна",OPERATIONAL
Pizza tavickata,Hospitality,restaurant,98,A,Hot,100,100,100,100,76,100,no,,088 795 8594,4.4,554,restaurant,https://maps.google.com/?cid=688390121839179917&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ж.к. Владислав ВарненчикВладислав Варненчик, ул. „6-ти Септември“ 17, 9023 Варна",OPERATIONAL
Бар Калмар,Hospitality,restaurant,98,A,Hot,100,100,100,100,76,100,no,,089 951 5036,4.4,553,restaurant,https://maps.google.com/?cid=7072378709577917310&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"Варна ЦентърОдесос, ул. „Михаил Колони“ 20, 9000 Варна",OPERATIONAL
Зеленика,Hospitality,restaurant,98,A,Hot,100,100,100,100,80,100,no,,089 899 0904,4.5,494,restaurant,https://maps.google.com/?cid=16310669616585519962&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,"ЗеленикаАспарухово, бул. „1-ви Май“, 9021 Варна",OPERATIONAL
